iter	Passed	Remaining
0	1	196
1	2	185
2	3	179
3	4	176
4	5	156
5	6	156
6	7	156
7	8	154
8	9	143
9	10	144
10	11	144
11	12	145
12	13	144
13	14	140
14	15	135
15	15	133
16	17	133
17	18	133
18	19	133
19	20	132
20	21	132
21	22	131
22	23	131
23	24	130
24	26	130
25	27	129
26	28	128
27	29	128
28	30	127
29	31	126
30	32	125
31	33	125
32	34	121
33	35	120
34	36	119
35	37	118
36	38	117
37	38	114
38	40	114
39	41	113
40	42	112
41	43	111
42	44	110
43	45	109
44	46	108
45	47	107
46	48	106
47	49	105
48	50	104
49	51	103
50	52	102
51	53	101
52	54	100
53	55	99
54	57	98
55	58	98
56	59	97
57	59	94
58	60	93
59	62	93
60	62	91
61	63	90
62	64	88
63	65	87
64	66	87
65	67	86
66	68	84
67	69	83
68	70	82
69	71	81
70	72	80
71	73	79
72	74	78
73	75	77
74	76	76
75	78	76
76	79	75
77	80	73
78	81	73
79	82	71
80	83	70
81	84	69
82	85	68
83	86	67
84	87	66
85	88	65
86	89	64
87	90	63
88	91	62
89	92	61
90	93	60
91	94	59
92	96	58
93	97	57
94	98	56
95	99	55
96	100	54
97	101	53
98	102	52
99	103	51
100	104	50
101	105	49
102	106	48
103	107	47
104	108	46
105	109	45
106	110	44
107	112	43
108	113	42
109	114	41
110	115	40
111	116	39
112	117	38
113	118	37
114	119	36
115	120	35
116	121	34
117	122	33
118	123	32
119	124	31
120	125	30
121	126	29
122	127	28
123	128	27
124	129	25
125	131	24
126	132	23
127	133	22
128	134	21
129	135	20
130	136	19
131	137	18
132	138	17
133	139	16
134	140	15
135	141	14
136	142	13
137	143	12
138	144	11
139	146	10
140	147	9
141	148	8
142	149	7
143	150	6
144	151	5
145	152	4
146	153	3
147	154	2
148	155	1
149	156	0
